Name,Price
Palit GeForce RTX 5060 Ti Dual 8GB,959
Inno3D GeForce RTX 5060 Ti Twin X2 16GB,989
MSI GeForce RTX 5060 Ti 8G GAMING OC,1019
Palit GeForce RTX 5060 Ti Infinity 3 16GB,1059
MSI GeForce RTX 5060 Ti 16G VENTUS 2X PLUS,1059
Palit GeForce RTX 5060 Ti Infinity 3 OC 16GB,1099
MSI GeForce RTX 5060 Ti 16G VENTUS 3X OC,1149
